time_s,cumulative_fuel_engine1_t,cumulative_fuel_engine2_t,cumulative_fuel_engine3_t
6324.13,0.918,0.821,0.306
6334.16,0.919,0.823,0.306
6344.18,0.921,0.825,0.307
6354.2,0.923,0.826,0.307
6364.22,0.924,0.828,0.308
6374.25,0.926,0.829,0.309
6384.27,0.927,0.831,0.309
6394.29,0.929,0.833,0.31
6404.31,0.931,0.834,0.311
6414.34,0.932,0.836,0.311
6424.36,0.934,0.838,0.312
6434.38,0.936,0.839,0.312
6444.4,0.937,0.841,0.313
6454.43,0.939,0.842,0.314
6464.45,0.94,0.844,0.314
6474.47,0.942,0.846,0.315
6484.49,0.944,0.847,0.315
6494.52,0.945,0.849,0.316
6504.54,0.947,0.851,0.317
6514.56,0.949,0.852,0.317
6524.58,0.95,0.854,0.318
6534.6,0.952,0.855,0.318
6544.63,0.953,0.857,0.319
6554.65,0.955,0.859,0.32
6564.67,0.957,0.86,0.32
6574.69,0.958,0.862,0.321
6584.72,0.96,0.863,0.322
6594.74,0.961,0.865,0.322
6604.76,0.963,0.867,0.323
6614.78,0.965,0.868,0.323
6624.81,0.966,0.87,0.324
6634.83,0.968,0.872,0.325
6644.85,0.97,0.873,0.325
6654.87,0.971,0.875,0.326
6664.9,0.973,0.876,0.326
6674.92,0.974,0.878,0.327
6684.94,0.976,0.88,0.328
6694.96,0.978,0.881,0.328
6704.99,0.979,0.883,0.329
6715.01,0.981,0.885,0.329
6725.03,0.983,0.886,0.33
6735.05,0.984,0.888,0.331
6745.08,0.986,0.889,0.331
6755.1,0.987,0.891,0.332
6765.12,0.989,0.893,0.332
6775.14,0.991,0.894,0.333
6785.16,0.992,0.896,0.334
6795.19,0.994,0.897,0.334
6805.21,0.995,0.899,0.335
6815.23,0.997,0.901,0.336
6825.25,0.999,0.902,0.336
6835.28,1.0,0.904,0.337
6845.3,1.0,0.906,0.337
6855.32,1.0,0.907,0.338
6865.34,1.01,0.909,0.339
6875.37,1.01,0.91,0.339
6885.39,1.01,0.912,0.34
6895.41,1.01,0.914,0.34
6905.43,1.01,0.915,0.341
6915.46,1.01,0.917,0.342
6925.48,1.01,0.919,0.342
6935.5,1.02,0.92,0.343
6945.52,1.02,0.922,0.343
6955.55,1.02,0.923,0.344
6965.57,1.02,0.925,0.345
6975.59,1.02,0.927,0.345
6985.61,1.02,0.928,0.346
6995.64,1.03,0.93,0.347
7005.66,1.03,0.931,0.347
7015.68,1.03,0.933,0.348
7025.7,1.03,0.935,0.348
7035.72,1.03,0.936,0.349
7045.75,1.03,0.938,0.35
7055.77,1.04,0.94,0.35
7065.79,1.04,0.941,0.351
7075.81,1.04,0.943,0.351
7085.84,1.04,0.944,0.352
7095.86,1.04,0.946,0.353
7105.88,1.04,0.948,0.353
7115.9,1.05,0.949,0.354
7125.93,1.05,0.951,0.354
7135.95,1.05,0.952,0.355
7145.97,1.05,0.954,0.356
7155.99,1.05,0.956,0.356
7166.02,1.05,0.957,0.357
7176.04,1.06,0.959,0.357
7186.06,1.06,0.961,0.358
7196.08,1.06,0.962,0.359
7206.11,1.06,0.964,0.359
7216.13,1.06,0.965,0.36
7226.15,1.06,0.967,0.361
7236.17,1.07,0.969,0.361
7246.2,1.07,0.97,0.362
7256.22,1.07,0.972,0.362
7266.24,1.07,0.974,0.363
